Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Bovidae,,,Bos,taurus,,"Linnaeus, 1758",In,Es,,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5204,Cattle,ganado vacuno,,,"Present on Floreana, Isabela, Santa Cruz and San Cristobal",,"The introduction of this species in the Islands began in 1832 in Floreana, later in San Cristobal (1841), Isabela (1850 aprox.) and in Santa Cruz in 1923.","La introduccion de esta especie a las islas comenzo en 1832 en Floreana, luego en San Cristobal (1841), Isabela (1850 aproximadamente) y por ultimo en Santa Cruz en 1923.",,
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Bovidae,,,Capra,hircus,,"Linnaeus, 1758",In,Es,,1,,True,,True,,True,True,True,,True,True,True,True,,,,,True,True,,True,5206,Goat,"caprino, chivo, cabra",,,"San Cristobal, Santa Cruz, and Floreana. Eradicated from Isabela, Baltra, Española, Plaza Sur, Santa Fé, Marchena, Rábida, Santiago, and Pinta. Originally from Asia, Iran.",,This species had been reported in the Islands since 1685 on most Islands. However goats were also the first eradicated in the Archipelago.,Esta especie se registro en las islas desde 1685 y su distribucion en un buen numero de islas. Sin embargo fue una de las primeras especies en su erradicacion.,"Goats are small, hoofed herbivores that can be brown to black to white in color. Goats are very agile and can eat almost anything - leaves, twigs, bark, flowers, fruits and roots.","Las cabras son herbívoros pequeños que pueden ser de color marrón, negro a blanco; son animales muy ágiles y  pueden comer cualquier cosa - hojas, ramas, cortezas, flores, frutos y raíces."
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Bovidae,,,Ovis,aries,,"Linnaeus, 1758",In,Cu,,1,,,,,,,,,,,True,,,,,,,,True,,,5240,Sheep,Ovejuno,,,"Unknown, however was present on Santa Cruz, San Cristobal and Isabela",,"Unknown the introduction of this species in the Islands, but the first record was in 1984, and unknown as disappeared.","Se desconoce la fecha de introduccion de esta especie en las islas, pero el primer registro fue en 1984. Tambien se desconoce como desaparecio de las islas.",,
Eukaryota,Animalia,Chordata,Mammalia,Artiodactyla,,,Suidae,,,Sus,scrofa,,"Linnaeus, 1758",In,Es,,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5251,Pig,Porcino,,,"Present on Santa Cruz, San Cristobal, Floreana, Isabela, eradicated on Santiago. Originally from Europe, Continental Asia.",,"This species was introduced in Floreana in 1832, San Cristobal (1835, 1847), Santiago (1875, 1878), Isabela Sur (1897) and in Santa Cruz (1920 aprox.)","Esta especie fue introducida en Floreana en 1832, San Cristobal (1835, 1847), Santiago (1875, 1878), Isabela Sur (1897) y en Santa Cruz (1920 aprox.)","Wild pigs are large mammals which are usually dark in color, with thick hair and a long snout. These pigs can be distinguished from domestic varieties by their lean, muscular body and tusks, as well as a characteristic tuft of coarse hair along the back. Wild pigs are herd animals, and male boars can join a group of 12-15 females during the breeding season, though adult boars are otherwise solitary.","Los cerdos salvajes son normalmente de color oscuro, con el pelo grueso y un hocico largo. Son animales de manada, con un macho unido a un grupo de 12-15 hembras durante la época de reproducción."
Eukaryota,Animalia,Chordata,Mammalia,Carnivora,,,Canidae,,,Canis,lupus,familiaris,"Linnaeus, 1758",In,Es,,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5205,Dog,"canino, pero",,,"Present on Santa Cruz, San Cristobal, Floreana and Isabela",,"The first record in the Archipelago was on Santiago in 1685. Later was recorded  on Floreana (1832), San Cristóbal (1842, 1847), Isabela (1835, 1868).","El primer registro en el Archipielago fue en Santiago en 1685. Posteriormente fue registrado en Floreana 1832, San Cristobal (1842, 1847), Isabela (1835, 1868).","Domestic dogs are highly variable in shape after thousands of years of human selection to obtain particular characteristics. While domestic dogs are associated with humans, feral domestic dogs are more varied in their behavior, and are often found in groups.","Los perros son muy variables en su forma después de miles de años de selección humana pra obtener caracteristicas particulares. Mientras que los perros domésticos están asociados con los seres humanos, los perros salvajes son muy variados en su comportamiento, y a menudo se encuentra en grupos. Los perros son principalmente carnívoros, pero comen frutas e invertebrados. Pueden reproducirse hasta dos veces por año a partir de 6 meses de edad con 2-12 cachorros por camada."
Eukaryota,Animalia,Chordata,Mammalia,Carnivora,,,Felidae,,,Felis,catus,,"(Schreber, 1775)",In,Es,,1,,,True,True,,True,,,,True,True,,,,,,,,True,,True,5211,Cat,"felino, gato",,,"Eradicated on Baltra. Present on Floreana, San Cristobal, Santa Cruz and Isabela.",,"The first recored was in 1832 in Floreana Island. After were in Isabela, San Cristobal and Santa Cruz with the colonization. The intruduction in Baltra, possibly was in the Second War, and the eradicated in 2004.",El primer registro fue en 1832 en Floreana. Posteriormente en las otras islas cuando estas fueron colonizadas. La introduccion en Baltra posiblemente fue en la segunda guerra mundial y su erradicacion en 2004.,The domestic cat is a small solitary carnivore that is primarily nocturnal. Domestic cats hunt for invertebrates and small vertebrates.,"El gato es un pequeño carnívoro solitario, caza sobre todo por la noche, se alimenta de invertebrados y pequeños vertebrados. Las hembras pueden reproducirse en su primer año, con 2 litros de 4 crías por año."
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,acutorostrata,,"Lacépéde, 1804",Na,Va,,1,,,,,,,,,,,True,,,,,,,,True,,,5201,Minke whale,ballena minke,,"Syn.: Agaphelus gibbosus Cope, 1968, Balaena gibbosa Cope, 1868, Balaena microcephala Tomilin, 1957, Balaena minima Rapp, 1837, Balaena minima borealis Knox, 1838, Balaena rostrata Fabricius, 1780 , Balaenoptera acutorostrata thalmaha Deraniyagala, 1963, Balaenoptera acuturostrata Lacépède, 1804 (lapsus calami), Balaenoptera davidsoni Scammon, 1872, Balaenoptera eschrichtius Rasch, 1845 , Balaenoptera microcephala Gray, 1850, Balaenoptera rostrata Van Beneden & Gervais, 1880, Balaenoptera thalmaha, Balaenoptera thalmaha thalmaha Deranyagala, 1963, Pterobalaena minor Eschricht, 1849, Pterobalaena minor bergensis Eschricht, 1849, Pterobalaena minor groenlandica Eschricht, 1849, Pterobalaena nana Barkow, 1862, Pterobalaena nana pentadactyla Barkow, 1862 , Pterobalaena nana tetradactyla Barkow, 1862, Pterobalaena pentadactyla Flower, 1865, Rorqualus minor Hamilton, 1837, Sibbaldius mondinii Capellini, 1877, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,borealis,,"Lesson, 1828",Na,Id,,1,,,,,,,,,,,True,,,,,,,,True,,,15554,Sei whale,ballena Sei,,"Syn.: Balaenoptera alba Giglioli, 1870 (synonym), Balaenoptera arctica Temminck, 1841 (synonym), Balaenoptera iwasi Gray, 1846 (synonym), Balaenoptera laticeps Gray, 1846 (synonym), Balaenoptera schlegelii Van Beneden & Gervais, 1880 (synonym), Balaenoptera schlegellii Dabbene, 1902 (synonym), Balena rostrata Rudolphi, 1822 (synonym), Belaenoptera schlegeli Lahille, 1899 (synonym), Pterobalaena alba Giglioli, 1874 (synonym), Pterobalaena schlegeli Tomilin, 1957 (synonym), Pterobalaena schlegeli alba Tomilin, 1957 (synonym), Sibbaldius schlegelii Gray, 1864 (synonym), fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,edeni,,"Anderson, 1879",Na,Mi,DD,1,,,,,,,,,,,True,,True,,,,,,True,,,5202,Bryde´s whale,ballena de Bryde,,"Syn.: Balaenoptera brydei Olsen, 1913 (Nomen inquirendum), Baloenoptera brydei Cadenat, 1957, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,musculus,,"Linnaeus, 1758",Na,Mi,EN,1,,,,,,,,,,,True,,,,,,,,True,,,5203,Blue whale,ballena azul,,"Syn.: Balaena borealis Fischer, 1829 (synonym), Balaena maximus, Balaena musculus Linnaeus, 1758 (basionym), Balaenoptera carolinae Malm, 1866 (synonym), Balaenoptera gigas Reinhardt, 1857 (synonym), Balaenoptera indica Blyth, 1859 (synonym), Balaenoptera jubartes Lacépède, 1804 (synonym), Balaenoptera miramaris Lahille, 1898 (synonym), Balaenoptera sibbaldi Van Beneden, 1887 (synonym), Balaenoptera sibbaldii Flower, 1885 (synonym), Physalus latirostris Flower, 1865 (synonym), Physalus sibbaldii Gray, 1847 (synonym), Pterobalaena gigas Reinhardt, 1857 (synonym), Pterobalaena grypus Munter, 1877 (synonym), Rorqualus boops F. Cuvier, 1836 (synonym), Rorqualus borealis Hamilton, 1837 (synonym), Rorqualus major Knox, 1870 (synonym), Sibbaldius antarcticus Burmeister, 1866 (synonym), Sibbaldius borealis Gray, 1864 (synonym), Sibbaldius musculus Kellogg, 1929 (synonym), fide Appeltans et al. (2010)",,,,,Length up to 26 meters,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Balaenoptera,physalus,,"(Linnaeus, 1758)",Na,Id,,1,,,,,,,,,,,True,,,,,,,,True,,,15553,Fin whale,,,"Syn.: Balaena antipodarum Tomilin, 1957 (synonym), Balaena antiquorum Fischer, 1829 (synonym), Balaena boops Linnaeus, 1758 (synonym), Balaena mysticetus major Kerr, 1792 (synonym), Balaena physalis Kerr, 1792 (synonym), Balaena physalus Linnaeus, 1758 (basionym), Balaena quoyi Fischer, 1829 (synonym), Balaena rostrata australis Desmoulins, 1822 (synonym), Balaena sulcata Neill, 1811 (synonym), Balaenoptera antarctica Gray, 1846 (synonym), Balaenoptera aragous Farines & Carcasonne, 1829 (synonym), Balaenoptera australis Gray, 1846 (synonym), Balaenoptera blythii Anderson, 1879 (synonym), Balaenoptera brasiliensis Gray, 1846 (synonym), Balaenoptera gibbar Lacépède, 1804 (synonym), Balaenoptera mediterraneensis Lesson, 1828 (synonym), Balaenoptera mediterranensis Cabrera, 1961 (misspelling), Balaenoptera musculus Van Beneden & Gervais, 1880 (synonym), Balaenoptera patachonica Lahille, 1905 (synonym), Balaenoptera patachonicus Burmeister, 1865 (synonym), Balaenoptera patagonica Dabbene, 1902 (synonym), Balaenoptera quoyii Lonnberg, 1906 (synonym), Balaenoptera rorqual Lacépède, 1804 (synonym), Balaenoptera sulcata arctica Schlegel, 1841 (synonym), Balaenoptera swinhoii Gray, 1866 (synonym), Balaenoptera tenuirostris Sweeting, 1840 (synonym), Balaenoptera velifera Cope, 1869 (synonym), Balaenoptera velifera copei Elliot, 1901 (synonym), Balaenopteris guibusdam Tomilin, 1957 (synonym), Benedenia knoxii Gray, 1864 (synonym), Dubertus rhodinsulensis Tomilin, 1957 (synonym), Physalis vulgaris Fleming, 1828 (synonym), Physalus antarcticus Gray, 1850 (synonym), Physalus australis Gray, 1850 (synonym), Physalus brasiliensis Gray, 1850 (synonym), Physalus dugundii Heddle, 1856 (synonym), Physalus fasciatus Gray, 1850 (synonym), Physalus patachonicus Burmeister, 1866 (synonym), Physalus verus Billberg, 1828 (synonym), Pterobalaena communis Van Beneden, 1857 (synonym), Pterobalaena gigantea michrochira Barkos, 1862 (synonym), Rorqualus musculus F. Cuvier, 1836 (synonym), Sibbaldius tectirostris Cope, 1869 (synonym), Sibbaldius tuberosus Cope, 1869 (synonym), Swinhoia chinensis Gray, 1868 (synonym), fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Mysticeti,Balaenopteridae,,,Megaptera,novaeangliae,,"Borowski, 1781",Na,Mi,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5224,Humpback whale,ballena jorobada,,"Syn.: Balaena allamack Gray, 1846, Balaena atlanticus Hurdis, 1897, Balaena boops Fabricius, 1780, Balaena gibbosa Gray, 1843, Balaena lalandii Fischer, 1829, Balaena longimana Rudolphi, 1832, Balaena nodosa Bonnaterre, 1789, Balaena novaeangliae Borowski, 1781 (basionym), Balaena sulcata antarctica Schlegel, 1841, Balaenoptera antarctica Temminck, 1841, Balaenoptera astrolabe Pucheran, 1843 , Balaenoptera australis Lesson, 1828, Balaenoptera capensis A. Smith, 1834, Balaenoptera leucopteron Lesson, 1842, Balaenoptera syncondylus A. Mueller, 1863, Kyphobalaena keporkak Van Beneden, 1868, Megaptera americana Gray, 1846, Megaptera antarctica Gray, 1846, Megaptera australis Iredale & Troughton, 1934, Megaptera bellicosa Cope, 1871, Megaptera boops Van Beneden & Gervais, 1880, Megaptera brasiliensis True, 1904, Megaptera braziliensis Cope, 1867, Megaptera burmeisteri Burmeister, 1866, Megaptera gigas Cope, 1865, Megaptera indica Gervais, 1883, Megaptera kusira Trouessart, 1904, Megaptera kuzira Gray, 1850, Megaptera lalandii Gray, 1864, Megaptera longimana Gray, 1846, Megaptera longimana morei Gray, 1866, Megaptera longipinna Gray, 1846, Megaptera nodosa Bonnaterre, 1789, Megaptera nodosa Lahille, 1905, Megaptera nodosa bellicosa Elliot, 1904, Megaptera nodosa lalandii Tomilin, 1946, Megaptera nodosa nodosa Tomilin, 1946, Megaptera nodosa novaezealandiae Ivashin, 1958, Megaptera novaezelandiae Gray, 1864, Megaptera osphya Mead & Brownell, 2005, Megaptera osphyia Cope, 1865, Megaptera poescop Gray, 1846, Megaptera versabilis Cope, 1869, Poescopia lalandii Gray, 1866, Rorqualus antarcticus F. Cuvier, 1836, Rorqualus australis Hamilton, 1837, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Delphinus,delphis,,"Linnaeus, 1758",Na,Mi,LC,1,,True,True,,,True,,,,True,True,,,,,,,,True,,True,5208,Common dolphin,delfín común de hocico corto,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Feresa,attenuata,,"Gray, 1846",Na,Va,,1,,,,,,,,,,,True,,,,,,,,True,,,5212,"Pygmy orca, Pygmy killer whale",orca pigmea,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Globicephala,macrorhynchus,,"Gray, 1846",Na,Mi,DD,1,,,,,,True,,,,,True,,True,,,,,,True,,True,5213,"Short finned pilot whale, shortfin pilot whale",ballena piloto de aleta corta,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Grampus,griseus,,"Cuvier, 1812",Na,Mi,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5214,Risso´s dolphin,delfín de Risso,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Lagenodelphis,hosei,,"Fraser, 1956",Na,Va,,1,,,,,,,,,,,True,,,,,,,,True,,,5219,Fraser´s dolphin,delfín de Fraser,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Orcinus,orca,,"Linnaeus, 1758",Na,Mi,DD,1,,,,,,,,,,,True,,,,,,,,True,,,5237,"Orca, killer whale",orca,,"Syn.: Orcinus glacialis (Berzin & Vladimirov, 1983), Orcinus nanus Mikhalev etal., 1981",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Peponocephala,electra,,"(Gray, 1846)",Na,Va,,1,,,,,,,,,,,True,,,,,,,,True,,,5241,Melon-Headed whale,ballena cabeza de melón,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Pseudorca,crassidens,,"Gould, 1838",Na,Mi,DD,1,,,,,,,,,,,True,,,,,,,,True,,,5243,False Killer Whale,falsa orca,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Stenella,coeruleoalba,,"Meyen, 1833",Na,Mi,LC,1,,,,,,,True,,,,,,,,,,,True,,,,5248,Striped dolphin,delfín listado,,"Syn.: Stenella euphrosyne Gray, 1846",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Delphinidae,,,Stenella,longirostris,,"Gray, 1828",Na,Mi,DD,1,,,,,,,,,,,True,,,,,,,,True,,,5249,Spinner dolphin,delfin tornillo,,,,,,,,
