,Scientific Name,Counts,"Northern Territory, Australia","California, United States","Tokyo, Japan","Northern Cape, South Africa","Massachusetts, United States","Florida, United States","Pichincha, Ecuador","Amazonas, Brazil","Kuala Lumpur, Malaysia","New Valley Governate, Egypt","San Jose Province, Costa Rica","London, England","Ile-de-France, France","Sodermanland, Sweden","Hawaii, United States","Delhi, India","Ontario, Canada","Berlin, Germany","Iowa, United States","Kinshasa, DR Congo","Jakarta, Indonesia","Mombasa County, Kenya"
0,pantala flavescens,18,1,0,35,0,0,4,0,0,0,0,5,0,0,0,6,0,0,0,0,0,2,1
1,xylosandrus compactus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,cryptophlebia pallifimbriana,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,targalla delatrix,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,periplaneta australasiae,15,0,0,0,0,0,0,0,0,0,0,5,15,0,6,0,0,0,0,0,0,0,0
5,oopsis nutator,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,simodactylus cinnamomeus,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,polydesma umbricola,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,zizina labradus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,stemorrhages thetydalis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,tharra tahitiensis,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,chrysodeixis chalcites,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,scholastes lonchifer,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,agrotis ipsilon,1,0,0,0,0,2,0,0,0,0,0,84,615,0,2,0,0,0,0,0,0,0,0
14,ananca bicolor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,atella sinha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ananca kanack,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ophiusa coronata,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,gnathothlibus erotus,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,tapinoma melanocephalum,36,0,0,0,0,0,7,0,0,0,0,143,2,0,0,0,0,0,0,0,0,0,0
20,acicnemis crassiusculus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ornidia obesa,15,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0
22,utetheisa pulchelloides,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,apis mellifera,32,0,571,17,0,221,12,2,0,0,0,398,921,1,471,33,0,5,30,7,0,0,2
24,balclutha rosea,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,piletocera signiferalis,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,kallitaxila sinica,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,telostylinus lineolatus,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,gyponana germari,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,chasmina tibialis,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,evania appendigaster,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,tropidomantis tenera,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,tetramorium pacificum,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,hypolimnas bolina,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0
34,glyphodes multilinealis,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,aedes aegypti,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,teleogryllus oceanicus,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,ceresium unicolor,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,achaea janata,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,litargus vestitus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,eudocima fullonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,sitophilus granarius,8,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0
42,euploea lewinii,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,pycnoscelus surinamensis,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
44,anticarsia irrorata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,eumenes pomiformis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,nezara viridula,8,0,0,1,0,0,2,0,0,0,0,1,119,0,0,1,0,0,0,0,0,0,0
47,anthicus oceanicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,empoasca solana,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
49,lallemandana fenestrata,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,homalodisca vitripennis,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,adoretus sinicus,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,cephalochrysa maxima,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,leptoglossus australis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,hermetia illucens,6,0,0,7,0,0,1,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,1
55,batracomorphus colina,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,tharra nitida,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,spodoptera litura,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,toxorhina spinulifera,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,coleotichus adamsoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,mocis trifasciata,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,sophonia rufofascia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,polistes olivaceus,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,carpophilus humeralis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,cosmopolites sordidus,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
65,sophonia orientalis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,thalassodes pilaria,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,cimex lectularius,6,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
68,blattella germanica,7,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
69,styringomyia didyma,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,acicnemis variegatus,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,ctenocephalides felis,6,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0
72,paratachys sexguttatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,aegomorphus quadrigibbus,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,graeffea crouani,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,technomyrmex vitiensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
76,bastilla tahitiensis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,hydrotetrix aspera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,anoplolepis gracilipes,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
